id,publisher,data set,original_id,extent_ant,extent_post,extent_left,extent_right,extent_inf,extent_sup
1,TCIA,Pancreas-CT,2,80,359,84,462,26,195
2,TCIA,Pancreas-CT,3,76,366,63,489,11,212
3,TCIA,Pancreas-CT,4,31,376,81,458,8,212
4,TCIA,Pancreas-CT,5,110,421,54,444,4,204
5,TCIA,Pancreas-CT,6,89,357,102,414,3,220
6,TCIA,Pancreas-CT,7,92,338,105,415,6,195
7,TCIA,Pancreas-CT,8,110,409,63,457,8,201
8,TCIA,Pancreas-CT,9,108,354,72,441,6,184
9,TCIA,Pancreas-CT,10,70,369,88,425,7,203
10,TCIA,Pancreas-CT,11,142,375,89,438,7,218
11,TCIA,Pancreas-CT,12,68,330,103,409,9,208
12,TCIA,Pancreas-CT,13,121,398,101,455,12,182
13,TCIA,Pancreas-CT,14,44,363,63,449,7,224
14,TCIA,Pancreas-CT,16,62,383,51,449,74,255
15,TCIA,Pancreas-CT,17,69,377,73,464,57,244
16,TCIA,Pancreas-CT,18,43,368,69,436,3,220
17,TCIA,Pancreas-CT,19,54,364,94,435,5,207
18,TCIA,Pancreas-CT,20,103,361,69,445,3,210
19,TCIA,Pancreas-CT,21,61,371,63,437,6,217
20,TCIA,Pancreas-CT,22,90,394,76,446,36,224
21,TCIA,Pancreas-CT,24,75,383,56,449,58,235
22,TCIA,Pancreas-CT,25,75,359,84,459,17,185
23,TCIA,Pancreas-CT,26,42,367,76,444,74,278
24,TCIA,Pancreas-CT,27,97,339,102,447,5,199
25,TCIA,Pancreas-CT,28,126,394,109,409,32,200
26,TCIA,Pancreas-CT,29,63,356,74,481,29,192
27,TCIA,Pancreas-CT,30,136,408,90,427,29,276
28,TCIA,Pancreas-CT,31,105,374,56,452,76,258
29,TCIA,Pancreas-CT,32,71,383,96,431,7,228
30,TCIA,Pancreas-CT,33,125,389,80,425,60,258
31,TCIA,Pancreas-CT,34,106,406,77,455,41,198
32,TCIA,Pancreas-CT,35,101,376,102,415,41,216
33,TCIA,Pancreas-CT,38,75,387,74,446,6,203
34,TCIA,Pancreas-CT,39,87,364,87,423,20,191
35,TCIA,Pancreas-CT,40,106,364,92,450,5,243
36,TCIA,Pancreas-CT,41,103,372,79,440,5,235
37,TCIA,Pancreas-CT,42,93,402,64,450,68,251
38,TCIA,Pancreas-CT,43,87,416,67,457,4,188
39,TCIA,Pancreas-CT,44,74,383,73,435,9,459
40,TCIA,Pancreas-CT,45,79,355,86,443,9,213
41,TCIA,Pancreas-CT,46,122,408,59,444,6,188
42,TCIA,Pancreas-CT,47,108,358,77,423,16,183
43,TCIA,Pancreas-CT,48,122,358,102,421,37,194
44,Synapse,BeyondTheCranialVault,1,93,429,41,483,77,136
45,Synapse,BeyondTheCranialVault,2,103,387,78,442,74,132
46,Synapse,BeyondTheCranialVault,3,120,410,81,448,100,187
47,Synapse,BeyondTheCranialVault,4,115,409,47,470,71,134
48,Synapse,BeyondTheCranialVault,5,69,389,45,449,25,101
49,Synapse,BeyondTheCranialVault,6,222,466,65,451,68,124
50,Synapse,BeyondTheCranialVault,7,138,430,64,470,72,147
51,Synapse,BeyondTheCranialVault,8,84,380,64,454,93,138
52,Synapse,BeyondTheCranialVault,9,104,415,99,424,20,132
53,Synapse,BeyondTheCranialVault,10,60,407,89,450,75,136
54,Synapse,BeyondTheCranialVault,21,143,396,74,447,76,134
55,Synapse,BeyondTheCranialVault,22,45,362,49,434,49,84
56,Synapse,BeyondTheCranialVault,23,22,410,29,473,55,91
57,Synapse,BeyondTheCranialVault,24,105,412,77,469,73,118
58,Synapse,BeyondTheCranialVault,25,58,393,71,442,36,78
59,Synapse,BeyondTheCranialVault,26,79,389,76,459,49,87
60,Synapse,BeyondTheCranialVault,27,73,391,36,469,42,83
61,Synapse,BeyondTheCranialVault,28,122,430,74,440,43,84
62,Synapse,BeyondTheCranialVault,29,129,398,92,409,31,95
63,Synapse,BeyondTheCranialVault,30,117,419,41,472,84,144
64,Synapse,BeyondTheCranialVault,31,135,423,67,445,11,82
65,Synapse,BeyondTheCranialVault,32,80,397,74,436,75,136
66,Synapse,BeyondTheCranialVault,33,64,427,60,471,51,92
67,Synapse,BeyondTheCranialVault,34,23,397,54,498,50,93
68,Synapse,BeyondTheCranialVault,35,121,348,87,418,54,89
69,Synapse,BeyondTheCranialVault,36,71,413,21,490,103,169
70,Synapse,BeyondTheCranialVault,37,84,440,29,465,56,89
71,Synapse,BeyondTheCranialVault,38,65,375,87,436,51,93
72,Synapse,BeyondTheCranialVault,39,107,358,105,420,46,88
73,Synapse,BeyondTheCranialVault,40,117,387,71,450,75,130
74,Synapse,BeyondTheCranialVault,61,99,395,73,441,66,130
75,Synapse,BeyondTheCranialVault,62,126,375,104,403,45,83
76,Synapse,BeyondTheCranialVault,63,63,380,64,454,44,81
77,Synapse,BeyondTheCranialVault,64,86,421,58,456,27,86
78,Synapse,BeyondTheCranialVault,65,101,411,74,453,78,138
79,Synapse,BeyondTheCranialVault,66,76,404,36,448,89,158
80,Synapse,BeyondTheCranialVault,67,84,408,52,463,97,167
81,Synapse,BeyondTheCranialVault,68,104,415,37,459,44,77
82,Synapse,BeyondTheCranialVault,69,80,395,60,454,56,88
83,Synapse,BeyondTheCranialVault,70,85,405,85,450,58,112
84,Synapse,BeyondTheCranialVault,74,54,366,60,442,45,79
85,Synapse,BeyondTheCranialVault,75,65,361,72,420,48,89
86,Synapse,BeyondTheCranialVault,76,123,431,44,471,33,110
87,Synapse,BeyondTheCranialVault,77,93,383,78,441,83,137
88,Synapse,BeyondTheCranialVault,78,141,401,95,428,49,85
89,Synapse,BeyondTheCranialVault,79,99,360,114,418,42,79
90,Synapse,BeyondTheCranialVault,80,84,405,39,475,50,89
,,,,,,,,,
